"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-1.876832845,-9.91202346,-7.741935484,-6.392961877,-5.102639296,-3.343108504,-12.25806452,-6.0515382,-9.593271881,-50.71538018
26,-1.876832845,-9.91202346,-7.741935484,-6.392961877,-5.102639296,-3.343108504,-12.25806452,-6.043510774,-9.597023217,-51.24554851
27,-1.876832845,-9.91202346,-7.741935484,-6.392961877,-5.102639296,-3.343108504,-12.31671554,-6.045898758,-9.610679632,-51.79451338
28,-1.935483871,-9.91202346,-7.741935484,-6.392961877,-5.102639296,-3.401759531,-12.31671554,-6.065669506,-9.654257536,-52.32961217
29,-1.935483871,-9.970674487,-7.80058651,-6.451612903,-5.161290323,-3.401759531,-12.37536657,-6.098935346,-9.672600416,-52.7309032
30,-1.994134897,-10.08797654,-7.859237537,-6.51026393,-5.219941349,-3.460410557,-12.55131965,-6.153928449,-9.701585962,-52.99065082
31,-1.994134897,-10.14662757,-7.917888563,-6.568914956,-5.219941349,-3.519061584,-12.72727273,-6.206363531,-9.701542984,-53.08162062
32,-1.994134897,-10.26392962,-7.976539589,-6.568914956,-5.278592375,-3.519061584,-12.90322581,-6.243522034,-9.687597966,-53.06303884
33,-1.994134897,-10.38123167,-8.035190616,-6.627565982,-5.278592375,-3.519061584,-13.13782991,-6.267632718,-9.660129161,-52.95053313
34,-1.935483871,-10.49853372,-8.093841642,-6.627565982,-5.278592375,-3.460410557,-13.37243402,-6.282010938,-9.604681584,-52.73434467
35,-1.935483871,-10.61583578,-8.152492669,-6.686217009,-5.278592375,-3.460410557,-13.60703812,-6.310124741,-9.572534015,-52.48041285
36,-1.935483871,-10.79178886,-8.211143695,-6.686217009,-5.337243402,-3.460410557,-13.7829912,-6.344435841,-9.546393535,-52.20936152
